client_id,client_type,acquisition_purpose,country,region,property_type,age,annual_income,budget_range,satisfaction_score,property_value,investment_horizon_years,num_prior_investments,risk_tolerance,cluster_kmeans,cluster_hierarchical,segment_name
CL00069,individual,primary_residence,uk,north_america,mixed_use,35.0,358821,1132469,4.715053684821969,6988163,9,23,low,2,5,
CL00070,real_estate_fund,portfolio_diversification,canada,europe,industrial,48.0,448641,3248817,2.986973712023938,7452281,6,24,medium,2,5,
CL00071,foreign_investor,primary_residence,uk,asia_pacific,commercial,29.0,153246,1431379,4.371781929824788,4425542,11,14,medium,1,4,
CL00072,individual,investment_rental,uae,north_america,residential,36.0,114817,3758997,2.7835464794392313,5386840,16,22,low,4,7,
CL00073,individual,primary_residence,singapore,asia_pacific,industrial,48.0,268657,4641490,3.834334183071301,7715857,19,24,high,4,7,
CL00074,foreign_investor,portfolio_diversification,usa,asia_pacific,mixed_use,34.0,247033,1517191,3.9274909491460033,1893227,5,10,medium,1,6,
CL00075,institutional,commercial_use,australia,asia_pacific,industrial,70.0,261414,3447526,1.6958548236133546,2521693,14,18,high,6,7,
CL00076,institutional,primary_residence,singapore,europe,residential,52.0,286812,3577983,2.444864235903247,4319647,17,20,medium,4,7,
CL00077,foreign_investor,primary_residence,uae,middle_east,industrial,74.0,361950,4531407,3.5492086261520956,7810064,3,9,medium,3,3,
CL00078,individual,flip_resale,usa,middle_east,industrial,56.0,334958,789925,1.2827864327374647,7525201,4,23,low,2,8,
CL00079,corporate,commercial_use,usa,north_america,residential,27.0,100219,2286394,2.4461607510518264,736470,16,11,medium,4,0,
CL00080,individual,investment_rental,uk,asia_pacific,commercial,26.0,472862,1147146,3.13919786512477,7320364,16,0,low,8,0,
CL00081,foreign_investor,portfolio_diversification,germany,europe,commercial,43.0,200956,1302532,4.984897972178555,4124409,4,23,high,2,1,
CL00082,institutional,investment_rental,uk,asia_pacific,residential,70.0,387489,2781478,2.898134250489763,3455141,19,6,medium,5,6,
CL00083,individual,commercial_use,uae,asia_pacific,industrial,44.0,287134,3093220,4.264227028457294,327216,17,16,high,0,2,
CL00084,individual,primary_residence,singapore,europe,residential,46.0,392232,860330,2.728269140266471,4799292,13,9,medium,5,5,
CL00085,individual,primary_residence,usa,middle_east,commercial,55.0,361466,3032878,4.185562890478836,2326512,1,5,high,8,2,
CL00086,individual,commercial_use,singapore,asia_pacific,mixed_use,47.0,51650,2930527,3.3816592064804336,3833460,12,16,low,4,0,
CL00087,institutional,primary_residence,usa,asia_pacific,industrial,68.0,386386,922564,4.546381766009594,2686015,4,17,medium,0,6,
CL00088,institutional,primary_residence,australia,middle_east,commercial,26.0,432406,2495406,2.6437702094004396,273662,11,4,medium,8,2,
CL00089,foreign_investor,primary_residence,uae,europe,industrial,47.0,330340,3571888,3.4172176792859155,1968352,5,17,medium,6,3,
CL00090,corporate,portfolio_diversification,usa,north_america,residential,41.0,200521,2243385,3.5200747224753095,3394571,2,16,medium,2,1,
CL00091,individual,portfolio_diversification,uk,middle_east,mixed_use,27.0,200733,2168884,2.9694681948049957,3044558,17,21,low,4,0,
CL00092,institutional,flip_resale,uk,north_america,residential,27.0,321853,2648600,1.577248174749926,786438,8,15,low,8,2,
CL00093,foreign_investor,investment_rental,germany,north_america,mixed_use,48.0,272037,2303463,1.3742376276493422,1630175,6,7,high,1,2,
CL00094,corporate,commercial_use,singapore,middle_east,industrial,39.0,110428,3804425,1.0666862023985324,1979484,9,23,medium,4,2,
CL00095,foreign_investor,commercial_use,singapore,asia_pacific,industrial,25.0,236251,4016247,4.4941370569808585,1817690,13,12,low,8,2,
CL00096,corporate,commercial_use,usa,north_america,residential,38.0,39943,2085404,1.9458996489547782,6916224,11,23,medium,4,0,
CL00097,corporate,flip_resale,usa,north_america,mixed_use,35.0,204312,2226861,1.8460269971270722,6276960,16,15,high,4,0,
CL00098,corporate,portfolio_diversification,usa,europe,mixed_use,35.0,468976,3879337,3.944141601704262,4569425,16,10,low,8,2,
CL00099,individual,flip_resale,uae,asia_pacific,industrial,34.0,51042,2151723,2.280064452349567,2119036,2,5,high,1,0,
CL00100,individual,commercial_use,canada,north_america,residential,28.0,282842,1148939,3.0241787696473463,7367037,10,2,high,7,0,
CL00101,individual,investment_rental,uk,europe,mixed_use,65.0,336038,4042518,1.6500442611898252,5167226,12,0,high,5,3,
CL00102,institutional,primary_residence,usa,asia_pacific,industrial,36.0,430085,4789133,4.8389828858478765,4061451,8,17,high,8,3,
CL00103,individual,portfolio_diversification,uae,middle_east,commercial,40.0,484294,4278465,4.40632560006895,2896153,11,4,medium,8,2,
CL00104,corporate,portfolio_diversification,germany,middle_east,residential,64.0,348903,496456,4.455158491860013,6419026,10,12,medium,2,5,
CL00105,real_estate_fund,flip_resale,singapore,europe,commercial,68.0,398117,998704,2.627094994288021,1254188,13,9,low,5,6,
CL00106,individual,portfolio_diversification,canada,middle_east,residential,65.0,336450,3861090,4.049444854828691,7066218,17,4,low,3,4,
CL00107,corporate,commercial_use,uk,north_america,industrial,56.0,400513,275037,1.5755046215591206,5691183,7,13,medium,5,8,
CL00108,foreign_investor,commercial_use,usa,asia_pacific,mixed_use,38.0,216443,4502910,1.0344760103671211,3859726,3,16,medium,6,0,
CL00109,individual,flip_resale,canada,north_america,mixed_use,56.0,181990,2976262,1.0798917303121125,7442496,13,0,low,7,0,
CL00110,individual,commercial_use,singapore,north_america,mixed_use,40.0,320523,4282531,3.346406949618242,5275614,19,24,medium,4,7,
CL00111,individual,investment_rental,uk,middle_east,residential,41.0,412811,3371593,2.821579620991763,3933112,7,1,low,8,2,
CL00112,individual,flip_resale,singapore,north_america,industrial,57.0,244304,1129516,3.072061395634079,2456569,9,6,high,1,6,
CL00113,real_estate_fund,investment_rental,germany,middle_east,commercial,56.0,426178,1796609,1.0298525616688776,361463,19,9,low,5,6,
CL00114,foreign_investor,primary_residence,singapore,asia_pacific,industrial,53.0,174923,3669769,2.690746478629703,7335300,13,19,medium,4,7,
CL00115,institutional,investment_rental,singapore,asia_pacific,commercial,69.0,409770,3709684,3.8722726448034432,1817788,8,6,medium,3,6,
CL00116,foreign_investor,primary_residence,uk,north_america,residential,65.0,468963,128885,2.7707748078697434,418602,18,23,low,0,8,
CL00117,foreign_investor,primary_residence,uae,europe,residential,61.0,417324,4690723,3.928876825248889,2544820,2,15,high,6,3,
CL00118,individual,investment_rental,uae,middle_east,commercial,45.0,344493,2912753,1.9320758575873391,812213,18,4,medium,5,6,
CL00119,foreign_investor,flip_resale,germany,middle_east,commercial,38.0,231904,4689764,4.252568017926902,5695501,18,11,medium,4,1,
CL00120,corporate,commercial_use,germany,north_america,commercial,28.0,217428,4654770,3.353724961813809,7784398,11,16,low,4,1,
CL00121,foreign_investor,commercial_use,germany,middle_east,industrial,64.0,175817,3229985,1.843052397719625,4886912,1,15,medium,6,3,
CL00122,foreign_investor,primary_residence,usa,middle_east,commercial,71.0,35730,1479339,1.9468819034153317,2341306,14,19,low,1,8,
CL00123,individual,primary_residence,singapore,europe,residential,22.0,437137,2218736,3.512121858278148,2823683,16,15,medium,8,2,
CL00124,individual,flip_resale,germany,europe,residential,56.0,259502,1943529,4.3197583728497735,3996703,11,18,medium,0,8,
CL00125,individual,portfolio_diversification,singapore,north_america,mixed_use,53.0,232210,919973,2.6625111281166207,2657720,1,14,high,1,8,
CL00126,corporate,investment_rental,germany,europe,commercial,57.0,244183,2750503,2.033201716510369,3892849,7,11,medium,6,3,
CL00127,foreign_investor,primary_residence,germany,north_america,industrial,34.0,49023,1218844,4.468046427642402,243476,16,20,low,1,2,
CL00128,foreign_investor,commercial_use,uae,asia_pacific,industrial,27.0,468565,2977746,3.6770731670033396,264560,14,9,low,8,2,
CL00129,individual,flip_resale,uae,north_america,industrial,35.0,156796,3896234,2.792341949132306,5265011,15,21,medium,4,7,
CL00130,corporate,investment_rental,usa,asia_pacific,mixed_use,58.0,373677,1528926,2.9516007811172074,1499987,14,1,low,5,6,
CL00131,corporate,flip_resale,uk,north_america,residential,69.0,375430,3994142,1.8170258717455856,3857957,11,6,low,5,3,
CL00132,individual,investment_rental,singapore,middle_east,industrial,36.0,334123,3416363,3.5072105202593757,1019241,16,12,high,8,2,
CL00133,individual,investment_rental,germany,europe,residential,68.0,314981,1557913,2.4349700421715545,699656,19,2,low,5,6,
CL00134,individual,primary_residence,usa,asia_pacific,mixed_use,25.0,438213,2067754,4.982580706697397,3588856,17,14,high,8,2,
CL00135,real_estate_fund,flip_resale,usa,north_america,commercial,61.0,397119,1346729,2.9207340610475514,3730885,6,0,low,5,5,
CL00136,individual,flip_resale,singapore,europe,commercial,37.0,206111,2881652,2.9435424247584527,7694022,11,2,high,7,4,
CL00137,corporate,commercial_use,usa,north_america,commercial,49.0,50923,2191219,3.2634071496426875,5838779,17,24,medium,4,0,
CL00138,institutional,commercial_use,usa,europe,industrial,37.0,301020,1088167,4.667024012474987,3553209,9,9,medium,1,6,
CL00139,corporate,primary_residence,usa,europe,commercial,25.0,353117,4317635,4.203272399439001,2247953,18,14,low,8,2,
CL00140,real_estate_fund,primary_residence,usa,north_america,industrial,66.0,426103,4317308,2.9694681948049957,2877978,17,21,high,0,7,
CL00141,real_estate_fund,portfolio_diversification,usa,asia_pacific,mixed_use,47.0,224795,3484169,3.874797063891184,3145785,12,5,high,3,6,
CL00142,individual,commercial_use,uk,asia_pacific,mixed_use,49.0,334566,3102827,3.3449419951230466,4130125,5,19,medium,6,1,
CL00143,corporate,investment_rental,uk,middle_east,industrial,53.0,263462,3649436,2.9694681948049957,7051013,11,14,medium,3,7,
CL00144,individual,flip_resale,canada,europe,residential,66.0,81413,548013,1.769263091137402,1976629,4,23,medium,1,8,
CL00145,individual,primary_residence,uae,middle_east,commercial,23.0,394628,2386319,2.8557450538195637,7368929,4,20,low,2,5,
CL00146,individual,flip_resale,singapore,middle_east,commercial,52.0,426057,1031253,1.9832743480902986,2545265,3,6,medium,5,5,
CL00147,institutional,flip_resale,usa,north_america,commercial,24.0,285719,1944053,4.659368599406619,5868365,17,24,high,0,5,
CL00148,corporate,portfolio_diversification,usa,north_america,industrial,29.0,58756,642955,2.3416272539853877,241679,7,20,medium,1,0,
CL00149,individual,commercial_use,singapore,north_america,mixed_use,45.0,363720,3650227,4.809056058133489,2928217,4,4,low,8,2,
CL00150,individual,primary_residence,usa,europe,commercial,48.0,148248,3407735,3.132221160378845,6108543,13,3,medium,7,4,
CL00151,real_estate_fund,flip_resale,uae,north_america,mixed_use,64.0,302448,4891126,3.5261775147046412,1489083,12,21,medium,0,7,
CL00152,individual,primary_residence,uae,north_america,commercial,52.0,60341,1898278,3.171761777957311,5554672,1,17,low,2,1,
CL00153,individual,investment_rental,singapore,europe,commercial,30.0,427974,3408424,1.5175224678668036,3174628,19,2,low,8,2,
CL00154,corporate,portfolio_diversification,usa,europe,industrial,48.0,440226,473145,2.503284876031764,3853367,18,16,low,5,8,
CL00155,real_estate_fund,investment_rental,uk,asia_pacific,residential,66.0,157039,3554373,1.3965844491104957,6084385,11,17,medium,6,8,
CL00156,individual,primary_residence,singapore,north_america,industrial,23.0,221830,2153413,3.491816176733527,4956540,3,17,low,2,1,
CL00157,institutional,primary_residence,usa,north_america,commercial,29.0,192730,785611,2.7874967808017557,4040702,17,23,medium,4,0,
CL00158,foreign_investor,commercial_use,singapore,north_america,commercial,28.0,210074,1757387,4.111939886283747,7709220,12,23,medium,2,5,
CL00159,individual,flip_resale,singapore,asia_pacific,residential,65.0,264390,2891241,1.8818819239974793,4138395,10,1,medium,5,3,
CL00160,institutional,flip_resale,australia,north_america,mixed_use,72.0,162447,2737174,1.6582642337173397,2524151,8,12,high,6,8,
CL00161,corporate,investment_rental,usa,asia_pacific,mixed_use,60.0,129485,1320985,2.625328923855071,6870841,15,21,low,0,8,
CL00162,institutional,portfolio_diversification,germany,middle_east,commercial,63.0,314236,3679269,4.706341532873525,7751709,5,14,medium,3,1,
CL00163,institutional,flip_resale,uae,asia_pacific,mixed_use,37.0,161562,445744,3.841687260049647,327476,4,4,high,1,6,
CL00164,corporate,commercial_use,uk,middle_east,commercial,56.0,33729,2128594,2.6756944991716747,1349217,19,2,low,1,1,
CL00165,individual,investment_rental,usa,north_america,residential,51.0,167046,1943441,3.0690886790172422,7090818,4,4,low,7,4,
CL00166,foreign_investor,investment_rental,singapore,middle_east,residential,31.0,148222,2704325,1.3368520447083934,6177246,15,4,high,7,0,
CL00167,individual,commercial_use,usa,asia_pacific,commercial,59.0,377360,2861623,4.938303585504452,2825877,17,4,high,3,6,
CL00168,individual,portfolio_diversification,uk,europe,residential,39.0,113860,1776850,3.6656292187796757,2403962,12,2,medium,1,6,
CL00169,individual,commercial_use,usa,middle_east,industrial,71.0,288360,3883799,2.14161627385369,5268580,3,2,low,6,3,
CL00170,corporate,portfolio_diversification,germany,middle_east,industrial,26.0,389014,1956759,3.3432335768609773,7580442,10,19,medium,2,5,
CL00171,institutional,commercial_use,germany,north_america,residential,74.0,51398,3986932,1.437929464275976,5412611,15,22,low,4,7,
CL00172,individual,commercial_use,singapore,asia_pacific,commercial,50.0,326794,532184,4.863346675230334,7106947,10,17,medium,2,5,
CL00173,corporate,primary_residence,uk,middle_east,commercial,60.0,444508,1309725,1.6991399515334638,3099908,18,19,medium,5,8,
CL00174,individual,investment_rental,usa,middle_east,residential,55.0,133889,2436806,3.5921212722208566,6626625,1,3,high,3,4,
CL00175,institutional,commercial_use,singapore,middle_east,mixed_use,64.0,295303,4722295,1.9818178501557218,4163880,3,0,low,6,3,
CL00176,individual,commercial_use,uae,middle_east,industrial,66.0,390306,3434944,2.9694681948049957,2081441,12,15,medium,0,6,
CL00177,institutional,flip_resale,usa,europe,mixed_use,44.0,485982,3008087,4.107285468961124,415033,1,7,low,8,2,
CL00178,corporate,investment_rental,singapore,asia_pacific,commercial,26.0,255959,758139,3.6936789156457306,4878161,3,16,medium,2,5,
CL00179,real_estate_fund,flip_resale,australia,north_america,commercial,51.0,132834,3070424,3.45799784102077,6266505,3,7,medium,3,4,
CL00180,individual,investment_rental,singapore,north_america,mixed_use,27.0,440281,4205513,4.569876375808047,3502477,5,6,low,8,2,
CL00181,individual,flip_resale,singapore,europe,residential,67.0,51638,4417293,1.3145068439590322,5478072,19,24,medium,4,7,
CL00182,individual,commercial_use,australia,asia_pacific,mixed_use,48.0,293217,4570697,2.3236590631207807,4074845,1,7,medium,6,3,
CL00183,real_estate_fund,commercial_use,usa,middle_east,mixed_use,25.0,469727,3161481,1.9931499185233839,1285730,4,20,high,8,2,
CL00184,foreign_investor,primary_residence,uae,europe,industrial,50.0,245379,2831801,4.952055848261686,6649998,4,23,medium,2,1,
CL00185,individual,flip_resale,australia,asia_pacific,industrial,44.0,262069,399850,2.557559118667494,1306649,17,11,high,1,6,
CL00186,institutional,portfolio_diversification,usa,middle_east,mixed_use,27.0,59320,4051382,3.930450796961595,5612774,14,15,medium,4,1,
CL00187,foreign_investor,primary_residence,singapore,europe,mixed_use,53.0,493092,141139,3.7389006555240183,6960691,18,11,low,5,5,
CL00188,corporate,flip_resale,uae,asia_pacific,commercial,63.0,64924,4933511,1.848324949909511,7235500,1,18,medium,6,1,
CL00189,corporate,flip_resale,uae,north_america,industrial,39.0,242792,871965,1.9559907208462053,5968812,16,9,medium,7,0,
CL00190,individual,primary_residence,singapore,north_america,industrial,36.0,463950,403446,2.1251382542121364,3852085,3,6,medium,2,2,
CL00191,individual,commercial_use,canada,asia_pacific,commercial,61.0,360260,3471484,2.644509113037517,6261053,9,11,medium,6,3,
CL00192,foreign_investor,flip_resale,germany,north_america,residential,53.0,201097,1498558,1.9373002626021072,6862003,4,19,medium,2,0,
CL00193,real_estate_fund,commercial_use,usa,asia_pacific,industrial,30.0,32159,1085663,1.0786059309873912,992329,5,4,low,1,0,
CL00194,institutional,primary_residence,canada,middle_east,industrial,58.0,78940,2861158,4.517572227228782,1343582,11,15,low,1,1,
CL00195,individual,commercial_use,usa,asia_pacific,residential,31.0,109436,1817479,4.862439325523536,7893343,9,8,medium,7,4,
CL00196,individual,investment_rental,uk,middle_east,industrial,41.0,44678,1898432,2.366281548126272,5877590,3,6,medium,7,0,
CL00197,institutional,portfolio_diversification,uae,europe,industrial,27.0,222147,1145716,2.3540275177018914,1038976,6,19,medium,1,0,
CL00198,foreign_investor,flip_resale,uae,asia_pacific,residential,69.0,470420,3923873,1.028367251097484,1741570,11,21,medium,6,7,
CL00199,foreign_investor,portfolio_diversification,uk,europe,residential,24.0,435237,3061937,3.721002753321496,324588,9,13,low,8,2,
CL00200,foreign_investor,commercial_use,australia,north_america,mixed_use,63.0,167844,4194638,4.301759582994515,3923618,15,10,medium,3,4,
CL00201,institutional,flip_resale,singapore,middle_east,commercial,32.0,97163,3035012,1.5864332014400127,7980256,3,6,medium,7,0,
CL00202,individual,commercial_use,singapore,asia_pacific,commercial,64.0,271040,3793793,1.638665397468603,7786805,1,9,medium,6,3,
CL00203,individual,investment_rental,usa,europe,residential,38.0,234827,2220700,4.1603329998857514,3735854,19,8,medium,8,4,
CL00204,foreign_investor,primary_residence,canada,middle_east,residential,53.0,184536,2653589,3.4651629934165786,1680332,14,3,medium,1,6,
CL00205,institutional,flip_resale,canada,middle_east,industrial,25.0,81137,1798413,2.9694681948049957,4469050,17,15,medium,4,0,
CL00206,individual,investment_rental,germany,north_america,mixed_use,25.0,453448,2631069,3.4901879618491267,4889023,14,9,high,8,2,
CL00207,individual,investment_rental,usa,north_america,mixed_use,38.0,353641,4738807,2.2356708913750643,7677837,17,18,medium,4,7,
CL00208,institutional,flip_resale,usa,middle_east,residential,62.0,497240,237799,2.4749006218833838,6092375,14,23,medium,0,8,
CL00209,individual,commercial_use,usa,middle_east,industrial,40.0,130485,281789,4.078925673187521,1183290,12,16,medium,1,2,
CL00210,individual,investment_rental,usa,asia_pacific,industrial,26.0,270970,3917780,4.243740770690442,4775535,16,8,medium,8,2,
CL00211,corporate,portfolio_diversification,uk,middle_east,commercial,53.0,474664,4270163,2.6014265073593226,5099702,1,12,medium,6,3,
CL00212,institutional,investment_rental,canada,asia_pacific,commercial,43.0,135468,4728656,4.788611744025419,6997129,13,0,medium,3,4,
CL00213,institutional,commercial_use,uae,middle_east,industrial,27.0,30901,902009,2.625850871808289,6773799,6,1,medium,7,0,
CL00214,individual,commercial_use,usa,north_america,commercial,56.0,117980,4406080,4.08734414092044,3596549,17,12,low,3,4,
CL00215,institutional,portfolio_diversification,uk,asia_pacific,residential,43.0,399738,312803,2.9355090582570362,7608136,12,23,high,2,8,
CL00216,individual,investment_rental,usa,europe,industrial,22.0,295025,2355913,4.590129306088336,3308546,19,8,medium,8,2,
CL00217,individual,commercial_use,usa,north_america,commercial,41.0,322007,2554244,4.631044974600714,631438,6,6,medium,8,2,
CL00218,institutional,flip_resale,uk,asia_pacific,mixed_use,43.0,272434,4315645,1.3496672314843354,6766601,7,15,medium,6,1,
CL00219,institutional,primary_residence,uk,asia_pacific,industrial,69.0,428838,1354329,4.745973325240903,6596505,1,18,low,2,5,
