client_id,client_type,acquisition_purpose,country,region,property_type,age,annual_income,budget_range,satisfaction_score,property_value,investment_horizon_years,num_prior_investments,risk_tolerance
CL00044,Real_Estate_Fund,Portfolio_Diversification,Canada,Europe,Commercial,63.0,116126,1830841,4.663257392762976,344243,2,24,Low
CL00045,Individual,Commercial_Use,UK,Europe,Commercial,63.0,478648,3973691,3.0115020802623396,5905325,1,16,Medium
CL00046,Institutional,Primary_Residence,USA,Middle_East,Industrial,42.0,192023,4523471,4.180441130106899,4601535,9,8,Medium
CL00047,Individual,Commercial_Use,UAE,Asia_Pacific,Industrial,36.0,110863,4151939,1.5429834123996042,3020741,12,16,Medium
CL00048,Corporate,Investment_Rental,USA,North_America,Mixed_Use,38.0,370435,4599367,4.909752736816049,767423,17,14,High
CL00049,Corporate,Primary_Residence,UAE,Europe,Mixed_Use,43.0,155659,969953,4.857412936143946,740642,15,6,Medium
CL00050,Individual,Commercial_Use,Canada,Asia_Pacific,Commercial,59.0,220944,2683273,1.6549158315166839,787031,19,21,Low
CL00051,Real_Estate_Fund,Investment_Rental,UAE,Europe,Industrial,56.0,37235,3198056,2.1976924992124265,3015893,10,22,Medium
CL00052,Foreign_Investor,Portfolio_Diversification,Singapore,Asia_Pacific,Mixed_Use,66.0,374877,2416374,1.4006199900270677,2153369,12,18,Low
CL00053,Real_Estate_Fund,Investment_Rental,USA,Asia_Pacific,Industrial,37.0,92712,813806,2.086870395592719,5951060,14,2,Medium
CL00054,Foreign_Investor,Flip_Resale,USA,Middle_East,Industrial,29.0,182545,4293616,,1400844,9,0,Medium
CL00055,Corporate,Investment_Rental,USA,Europe,Mixed_Use,68.0,228639,3539187,2.513262428661038,1066094,13,3,Medium
CL00056,Real_Estate_Fund,Investment_Rental,UAE,North_America,Commercial,38.0,267890,2857506,1.3535878685870335,4439361,3,17,Low
CL00057,Individual,Flip_Resale,USA,Middle_East,Mixed_Use,38.0,155849,850774,2.368902099115618,1236985,14,7,Medium
CL00058,Individual,Commercial_Use,UK,Middle_East,Mixed_Use,47.0,285493,3457963,4.92553333696512,396889,10,18,Medium
CL00059,Individual,Commercial_Use,UAE,North_America,Industrial,34.0,109823,1024993,3.5187343810368117,6869142,16,22,Medium
CL00060,Individual,Investment_Rental,UK,Middle_East,Mixed_Use,38.0,134215,453791,2.664643785624631,6590913,7,22,Low
CL00061,Corporate,Flip_Resale,USA,Asia_Pacific,Commercial,59.0,271071,3540227,1.66615405398908,1615088,4,24,Medium
CL00062,Individual,Flip_Resale,UK,Asia_Pacific,Mixed_Use,38.0,62230,1484525,4.944707189134779,6297878,11,5,Low
CL00063,Foreign_Investor,Portfolio_Diversification,Canada,Europe,Commercial,69.0,376717,3617778,4.2833960370525155,6765316,16,0,Low
CL00064,Corporate,Commercial_Use,Singapore,Europe,Commercial,35.0,253660,216220,2.1259092098036776,5219888,4,7,Low
CL00065,Individual,Primary_Residence,UAE,North_America,Industrial,66.0,492092,321421,1.2802747828847578,5419262,17,0,Low
CL00066,Corporate,Commercial_Use,USA,Europe,Residential,27.0,332788,449317,1.2265022295102321,6518131,13,18,Medium
CL00067,Individual,Commercial_Use,Australia,Asia_Pacific,Residential,56.0,209736,4021087,1.4815125980221353,4334251,11,10,High
CL00068,Foreign_Investor,Portfolio_Diversification,Singapore,North_America,Industrial,67.0,337347,3027971,3.3230743344576865,3262252,3,20,Medium
CL00069,Individual,Primary_Residence,UK,North_America,Mixed_Use,35.0,358821,1132469,4.715053684821969,6988163,9,23,Low
CL00070,Real_Estate_Fund,Portfolio_Diversification,Canada,Europe,Industrial,,448641,3248817,2.986973712023938,7452281,6,24,Medium
CL00071,Foreign_Investor,Primary_Residence,UK,Asia_Pacific,Commercial,29.0,153246,1431379,4.371781929824788,4425542,11,14,Medium
CL00072,Individual,Investment_Rental,UAE,North_America,Residential,36.0,114817,3758997,2.7835464794392313,5386840,16,22,Low
CL00073,Individual,Primary_Residence,Singapore,Asia_Pacific,Industrial,48.0,268657,4641490,3.834334183071301,7715857,19,24,High
CL00074,Foreign_Investor,Portfolio_Diversification,USA,Asia_Pacific,Mixed_Use,34.0,247033,1517191,3.9274909491460033,1893227,5,10,Medium
CL00075,Institutional,Commercial_Use,Australia,Asia_Pacific,Industrial,70.0,261414,3447526,1.6958548236133546,2521693,14,18,High
CL00076,Institutional,Primary_Residence,Singapore,Europe,Residential,52.0,286812,3577983,2.444864235903247,4319647,17,20,Medium
CL00077,Foreign_Investor,Primary_Residence,UAE,Middle_East,Industrial,74.0,361950,4531407,3.5492086261520956,7810064,3,9,Medium
CL00078,Individual,Flip_Resale,USA,Middle_East,Industrial,56.0,334958,789925,1.2827864327374647,7525201,4,23,Low
CL00079,Corporate,Commercial_Use,USA,North_America,Residential,27.0,100219,2286394,2.4461607510518264,736470,16,11,Medium
CL00080,Individual,Investment_Rental,UK,Asia_Pacific,Commercial,26.0,472862,1147146,3.13919786512477,7320364,16,0,Low
CL00081,Foreign_Investor,Portfolio_Diversification,Germany,Europe,Commercial,43.0,200956,1302532,4.984897972178555,4124409,4,23,High
CL00082,Institutional,Investment_Rental,UK,Asia_Pacific,Residential,70.0,387489,2781478,2.898134250489763,3455141,19,6,Medium
CL00083,Individual,Commercial_Use,UAE,Asia_Pacific,Industrial,44.0,287134,3093220,4.264227028457294,327216,17,16,High
CL00084,Individual,Primary_Residence,Singapore,Europe,Residential,46.0,392232,860330,2.728269140266471,4799292,13,9,Medium
CL00085,Individual,Primary_Residence,USA,Middle_East,Commercial,55.0,361466,3032878,4.185562890478836,2326512,1,5,High
CL00086,Individual,Commercial_Use,Singapore,Asia_Pacific,Mixed_Use,47.0,51650,2930527,3.3816592064804336,3833460,12,16,Low
CL00087,Institutional,Primary_Residence,USA,Asia_Pacific,Industrial,68.0,386386,922564,4.546381766009594,2686015,4,17,Medium
CL00088,Institutional,Primary_Residence,Australia,Middle_East,Commercial,26.0,432406,2495406,2.6437702094004396,273662,11,4,Medium
CL00089,Foreign_Investor,Primary_Residence,UAE,Europe,Industrial,47.0,330340,3571888,3.4172176792859155,1968352,5,17,Medium
CL00090,Corporate,Portfolio_Diversification,USA,North_America,Residential,41.0,200521,2243385,3.5200747224753095,3394571,2,16,Medium
CL00091,Individual,Portfolio_Diversification,UK,Middle_East,Mixed_Use,27.0,200733,2168884,,3044558,17,21,Low
CL00092,Institutional,Flip_Resale,UK,North_America,Residential,27.0,321853,2648600,1.577248174749926,786438,8,15,Low
CL00093,Foreign_Investor,Investment_Rental,Germany,North_America,Mixed_Use,,272037,2303463,1.3742376276493422,1630175,6,7,High
CL00094,Corporate,Commercial_Use,Singapore,Middle_East,Industrial,39.0,110428,3804425,1.0666862023985324,1979484,9,23,Medium
CL00095,Foreign_Investor,Commercial_Use,Singapore,Asia_Pacific,Industrial,25.0,236251,4016247,4.4941370569808585,1817690,13,12,Low
CL00096,Corporate,Commercial_Use,USA,North_America,Residential,38.0,39943,2085404,1.9458996489547782,6916224,11,23,Medium
CL00097,Corporate,Flip_Resale,USA,North_America,Mixed_Use,35.0,204312,2226861,1.8460269971270722,6276960,16,15,High
CL00098,Corporate,Portfolio_Diversification,USA,Europe,Mixed_Use,35.0,468976,3879337,3.944141601704262,4569425,16,10,Low
CL00099,Individual,Flip_Resale,UAE,Asia_Pacific,Industrial,34.0,51042,2151723,2.280064452349567,2119036,2,5,High
CL00100,Individual,Commercial_Use,Canada,North_America,Residential,28.0,282842,1148939,3.0241787696473463,7367037,10,2,High
CL00101,Individual,Investment_Rental,UK,Europe,Mixed_Use,65.0,336038,4042518,1.6500442611898252,5167226,12,0,High
CL00102,Institutional,Primary_Residence,USA,Asia_Pacific,Industrial,36.0,430085,4789133,4.8389828858478765,4061451,8,17,High
CL00103,Individual,Portfolio_Diversification,UAE,Middle_East,Commercial,40.0,484294,4278465,4.40632560006895,2896153,11,4,Medium
CL00104,Corporate,Portfolio_Diversification,Germany,Middle_East,Residential,64.0,348903,496456,4.455158491860013,6419026,10,12,Medium
CL00105,Real_Estate_Fund,Flip_Resale,Singapore,Europe,Commercial,68.0,398117,998704,2.627094994288021,1254188,13,9,Low
CL00106,Individual,Portfolio_Diversification,Canada,Middle_East,Residential,65.0,336450,3861090,4.049444854828691,7066218,17,4,Low
CL00107,Corporate,Commercial_Use,UK,North_America,Industrial,56.0,400513,275037,1.5755046215591206,5691183,7,13,Medium
CL00108,Foreign_Investor,Commercial_Use,USA,Asia_Pacific,Mixed_Use,38.0,216443,4502910,1.0344760103671211,3859726,3,16,Medium
CL00109,Individual,Flip_Resale,Canada,North_America,Mixed_Use,56.0,181990,2976262,1.0798917303121125,7442496,13,0,Low
CL00110,Individual,Commercial_Use,Singapore,North_America,Mixed_Use,40.0,320523,4282531,3.346406949618242,5275614,19,24,Medium
CL00111,Individual,Investment_Rental,UK,Middle_East,Residential,41.0,412811,3371593,2.821579620991763,3933112,7,1,Low
CL00112,Individual,Flip_Resale,Singapore,North_America,Industrial,57.0,244304,1129516,3.072061395634079,2456569,9,6,High
CL00113,Real_Estate_Fund,Investment_Rental,Germany,Middle_East,Commercial,56.0,426178,1796609,1.0298525616688776,361463,19,9,Low
CL00114,Foreign_Investor,Primary_Residence,Singapore,Asia_Pacific,Industrial,53.0,174923,3669769,2.690746478629703,7335300,13,19,Medium
CL00115,Institutional,Investment_Rental,Singapore,Asia_Pacific,Commercial,69.0,409770,3709684,3.8722726448034432,1817788,8,6,Medium
CL00116,Foreign_Investor,Primary_Residence,UK,North_America,Residential,65.0,468963,128885,2.7707748078697434,418602,18,23,Low
CL00117,Foreign_Investor,Primary_Residence,UAE,Europe,Residential,61.0,417324,4690723,3.928876825248889,2544820,2,15,High
CL00118,Individual,Investment_Rental,UAE,Middle_East,Commercial,45.0,344493,2912753,1.9320758575873391,812213,18,4,Medium
CL00119,Foreign_Investor,Flip_Resale,Germany,Middle_East,Commercial,38.0,231904,4689764,4.252568017926902,5695501,18,11,Medium
CL00120,Corporate,Commercial_Use,Germany,North_America,Commercial,28.0,217428,4654770,3.353724961813809,7784398,11,16,Low
CL00121,Foreign_Investor,Commercial_Use,Germany,Middle_East,Industrial,64.0,175817,3229985,1.843052397719625,4886912,1,15,Medium
CL00122,Foreign_Investor,Primary_Residence,USA,Middle_East,Commercial,71.0,35730,1479339,1.9468819034153317,2341306,14,19,Low
CL00123,Individual,Primary_Residence,Singapore,Europe,Residential,22.0,437137,2218736,3.512121858278148,2823683,16,15,Medium
CL00124,Individual,Flip_Resale,Germany,Europe,Residential,56.0,259502,1943529,4.3197583728497735,3996703,11,18,Medium
CL00125,Individual,Portfolio_Diversification,Singapore,North_America,Mixed_Use,53.0,232210,919973,2.6625111281166207,2657720,1,14,High
CL00126,Corporate,Investment_Rental,Germany,Europe,Commercial,57.0,244183,2750503,2.033201716510369,3892849,7,11,Medium
CL00127,Foreign_Investor,Primary_Residence,Germany,North_America,Industrial,34.0,49023,1218844,4.468046427642402,243476,16,20,Low
CL00128,Foreign_Investor,Commercial_Use,UAE,Asia_Pacific,Industrial,27.0,468565,2977746,3.6770731670033396,264560,14,9,Low
CL00129,Individual,Flip_Resale,UAE,North_America,Industrial,35.0,156796,3896234,2.792341949132306,5265011,15,21,Medium
CL00130,Corporate,Investment_Rental,USA,Asia_Pacific,Mixed_Use,58.0,373677,1528926,2.9516007811172074,1499987,14,1,Low
CL00131,Corporate,Flip_Resale,UK,North_America,Residential,69.0,375430,3994142,1.8170258717455856,3857957,11,6,Low
CL00132,Individual,Investment_Rental,Singapore,Middle_East,Industrial,36.0,334123,3416363,3.5072105202593757,1019241,16,12,High
CL00133,Individual,Investment_Rental,Germany,Europe,Residential,68.0,314981,1557913,2.4349700421715545,699656,19,2,Low
CL00134,Individual,Primary_Residence,USA,Asia_Pacific,Mixed_Use,25.0,438213,2067754,4.982580706697397,3588856,17,14,High
CL00135,Real_Estate_Fund,Flip_Resale,USA,North_America,Commercial,61.0,397119,1346729,2.9207340610475514,3730885,6,0,Low
CL00136,Individual,Flip_Resale,Singapore,Europe,Commercial,37.0,206111,2881652,2.9435424247584527,7694022,11,2,High
CL00137,Corporate,Commercial_Use,USA,North_America,Commercial,49.0,50923,2191219,3.2634071496426875,5838779,17,24,Medium
CL00138,Institutional,Commercial_Use,USA,Europe,Industrial,37.0,301020,1088167,4.667024012474987,3553209,9,9,Medium
CL00139,Corporate,Primary_Residence,USA,Europe,Commercial,25.0,353117,4317635,4.203272399439001,2247953,18,14,Low
CL00140,Real_Estate_Fund,Primary_Residence,USA,North_America,Industrial,66.0,426103,4317308,,2877978,17,21,High
CL00141,Real_Estate_Fund,Portfolio_Diversification,USA,Asia_Pacific,Mixed_Use,47.0,224795,3484169,3.874797063891184,3145785,12,5,High
CL00142,Individual,Commercial_Use,UK,Asia_Pacific,Mixed_Use,49.0,334566,3102827,3.3449419951230466,4130125,5,19,Medium
CL00143,Corporate,Investment_Rental,UK,Middle_East,Industrial,53.0,263462,3649436,2.9694681948049957,7051013,11,14,Medium
CL00144,Individual,Flip_Resale,Canada,Europe,Residential,66.0,81413,548013,1.769263091137402,1976629,4,23,Medium
CL00145,Individual,Primary_Residence,UAE,Middle_East,Commercial,23.0,394628,2386319,2.8557450538195637,7368929,4,20,Low
CL00146,Individual,Flip_Resale,Singapore,Middle_East,Commercial,52.0,426057,1031253,1.9832743480902986,2545265,3,6,Medium
CL00147,Institutional,Flip_Resale,USA,North_America,Commercial,24.0,285719,1944053,4.659368599406619,5868365,17,24,High
CL00148,Corporate,Portfolio_Diversification,USA,North_America,Industrial,29.0,58756,642955,2.3416272539853877,241679,7,20,Medium
CL00149,Individual,Commercial_Use,Singapore,North_America,Mixed_Use,45.0,363720,3650227,4.809056058133489,2928217,4,4,Low
CL00150,Individual,Primary_Residence,USA,Europe,Commercial,,148248,3407735,3.132221160378845,6108543,13,3,Medium
CL00151,Real_Estate_Fund,Flip_Resale,UAE,North_America,Mixed_Use,64.0,302448,4891126,3.5261775147046412,1489083,12,21,Medium
CL00152,Individual,Primary_Residence,UAE,North_America,Commercial,52.0,60341,1898278,3.171761777957311,5554672,1,17,Low
CL00153,Individual,Investment_Rental,Singapore,Europe,Commercial,30.0,427974,3408424,1.5175224678668036,3174628,19,2,Low
CL00154,Corporate,Portfolio_Diversification,USA,Europe,Industrial,,440226,473145,2.503284876031764,3853367,18,16,Low
CL00155,Real_Estate_Fund,Investment_Rental,UK,Asia_Pacific,Residential,66.0,157039,3554373,1.3965844491104957,6084385,11,17,Medium
CL00156,Individual,Primary_Residence,Singapore,North_America,Industrial,23.0,221830,2153413,3.491816176733527,4956540,3,17,Low
CL00157,Institutional,Primary_Residence,USA,North_America,Commercial,29.0,192730,785611,2.7874967808017557,4040702,17,23,Medium
CL00158,Foreign_Investor,Commercial_Use,Singapore,North_America,Commercial,28.0,210074,1757387,4.111939886283747,7709220,12,23,Medium
CL00159,Individual,Flip_Resale,Singapore,Asia_Pacific,Residential,65.0,264390,2891241,1.8818819239974793,4138395,10,1,Medium
CL00160,Institutional,Flip_Resale,Australia,North_America,Mixed_Use,72.0,162447,2737174,1.6582642337173397,2524151,8,12,High
CL00161,Corporate,Investment_Rental,USA,Asia_Pacific,Mixed_Use,60.0,129485,1320985,2.625328923855071,6870841,15,21,Low
CL00162,Institutional,Portfolio_Diversification,Germany,Middle_East,Commercial,63.0,314236,3679269,4.706341532873525,7751709,5,14,Medium
CL00163,Institutional,Flip_Resale,UAE,Asia_Pacific,Mixed_Use,37.0,161562,445744,3.841687260049647,327476,4,4,High
CL00164,Corporate,Commercial_Use,UK,Middle_East,Commercial,56.0,33729,2128594,2.6756944991716747,1349217,19,2,Low
CL00165,Individual,Investment_Rental,USA,North_America,Residential,51.0,167046,1943441,3.0690886790172422,7090818,4,4,Low
CL00166,Foreign_Investor,Investment_Rental,Singapore,Middle_East,Residential,31.0,148222,2704325,1.3368520447083934,6177246,15,4,High
CL00167,Individual,Commercial_Use,USA,Asia_Pacific,Commercial,59.0,377360,2861623,4.938303585504452,2825877,17,4,High
CL00168,Individual,Portfolio_Diversification,UK,Europe,Residential,39.0,113860,1776850,3.6656292187796757,2403962,12,2,Medium
CL00169,Individual,Commercial_Use,USA,Middle_East,Industrial,71.0,288360,3883799,2.14161627385369,5268580,3,2,Low
CL00170,Corporate,Portfolio_Diversification,Germany,Middle_East,Industrial,26.0,389014,1956759,3.3432335768609773,7580442,10,19,Medium
CL00171,Institutional,Commercial_Use,Germany,North_America,Residential,74.0,51398,3986932,1.437929464275976,5412611,15,22,Low
CL00172,Individual,Commercial_Use,Singapore,Asia_Pacific,Commercial,50.0,326794,532184,4.863346675230334,7106947,10,17,Medium
CL00173,Corporate,Primary_Residence,UK,Middle_East,Commercial,60.0,444508,1309725,1.6991399515334638,3099908,18,19,Medium
CL00174,Individual,Investment_Rental,USA,Middle_East,Residential,55.0,133889,2436806,3.5921212722208566,6626625,1,3,High
CL00175,Institutional,Commercial_Use,Singapore,Middle_East,Mixed_Use,64.0,295303,4722295,1.9818178501557218,4163880,3,0,Low
CL00176,Individual,Commercial_Use,UAE,Middle_East,Industrial,66.0,390306,3434944,,2081441,12,15,Medium
CL00177,Institutional,Flip_Resale,USA,Europe,Mixed_Use,44.0,485982,3008087,4.107285468961124,415033,1,7,Low
CL00178,Corporate,Investment_Rental,Singapore,Asia_Pacific,Commercial,26.0,255959,758139,3.6936789156457306,4878161,3,16,Medium
CL00179,Real_Estate_Fund,Flip_Resale,Australia,North_America,Commercial,51.0,132834,3070424,3.45799784102077,6266505,3,7,Medium
CL00180,Individual,Investment_Rental,Singapore,North_America,Mixed_Use,27.0,440281,4205513,4.569876375808047,3502477,5,6,Low
CL00181,Individual,Flip_Resale,Singapore,Europe,Residential,67.0,51638,4417293,1.3145068439590322,5478072,19,24,Medium
CL00182,Individual,Commercial_Use,Australia,Asia_Pacific,Mixed_Use,,293217,4570697,2.3236590631207807,4074845,1,7,Medium
CL00183,Real_Estate_Fund,Commercial_Use,USA,Middle_East,Mixed_Use,25.0,469727,3161481,1.9931499185233839,1285730,4,20,High
CL00184,Foreign_Investor,Primary_Residence,UAE,Europe,Industrial,50.0,245379,2831801,4.952055848261686,6649998,4,23,Medium
CL00185,Individual,Flip_Resale,Australia,Asia_Pacific,Industrial,44.0,262069,399850,2.557559118667494,1306649,17,11,High
CL00186,Institutional,Portfolio_Diversification,USA,Middle_East,Mixed_Use,27.0,59320,4051382,3.930450796961595,5612774,14,15,Medium
CL00187,Foreign_Investor,Primary_Residence,Singapore,Europe,Mixed_Use,53.0,493092,141139,3.7389006555240183,6960691,18,11,Low
CL00188,Corporate,Flip_Resale,UAE,Asia_Pacific,Commercial,63.0,64924,4933511,1.848324949909511,7235500,1,18,Medium
CL00189,Corporate,Flip_Resale,UAE,North_America,Industrial,39.0,242792,871965,1.9559907208462053,5968812,16,9,Medium
CL00190,Individual,Primary_Residence,Singapore,North_America,Industrial,36.0,463950,403446,2.1251382542121364,3852085,3,6,Medium
CL00191,Individual,Commercial_Use,Canada,Asia_Pacific,Commercial,61.0,360260,3471484,2.644509113037517,6261053,9,11,Medium
CL00192,Foreign_Investor,Flip_Resale,Germany,North_America,Residential,53.0,201097,1498558,1.9373002626021072,6862003,4,19,Medium
CL00193,Real_Estate_Fund,Commercial_Use,USA,Asia_Pacific,Industrial,30.0,32159,1085663,1.0786059309873912,992329,5,4,Low
CL00194,Institutional,Primary_Residence,Canada,Middle_East,Industrial,58.0,78940,2861158,4.517572227228782,1343582,11,15,Low
CL00195,Individual,Commercial_Use,USA,Asia_Pacific,Residential,31.0,109436,1817479,4.862439325523536,7893343,9,8,Medium
CL00196,Individual,Investment_Rental,UK,Middle_East,Industrial,41.0,44678,1898432,2.366281548126272,5877590,3,6,Medium
CL00197,Institutional,Portfolio_Diversification,UAE,Europe,Industrial,27.0,222147,1145716,2.3540275177018914,1038976,6,19,Medium
CL00198,Foreign_Investor,Flip_Resale,UAE,Asia_Pacific,Residential,69.0,470420,3923873,1.028367251097484,1741570,11,21,Medium
CL00199,Foreign_Investor,Portfolio_Diversification,UK,Europe,Residential,24.0,435237,3061937,3.721002753321496,324588,9,13,Low
CL00200,Foreign_Investor,Commercial_Use,Australia,North_America,Mixed_Use,63.0,167844,4194638,4.301759582994515,3923618,15,10,Medium
CL00201,Institutional,Flip_Resale,Singapore,Middle_East,Commercial,32.0,97163,3035012,1.5864332014400127,7980256,3,6,Medium
CL00202,Individual,Commercial_Use,Singapore,Asia_Pacific,Commercial,64.0,271040,3793793,1.638665397468603,7786805,1,9,Medium
CL00203,Individual,Investment_Rental,USA,Europe,Residential,38.0,234827,2220700,4.1603329998857514,3735854,19,8,Medium
CL00204,Foreign_Investor,Primary_Residence,Canada,Middle_East,Residential,53.0,184536,2653589,3.4651629934165786,1680332,14,3,Medium
CL00205,Institutional,Flip_Resale,Canada,Middle_East,Industrial,25.0,81137,1798413,,4469050,17,15,Medium
CL00206,Individual,Investment_Rental,Germany,North_America,Mixed_Use,25.0,453448,2631069,3.4901879618491267,4889023,14,9,High
CL00207,Individual,Investment_Rental,USA,North_America,Mixed_Use,38.0,353641,4738807,2.2356708913750643,7677837,17,18,Medium
CL00208,Institutional,Flip_Resale,USA,Middle_East,Residential,62.0,497240,237799,2.4749006218833838,6092375,14,23,Medium
CL00209,Individual,Commercial_Use,USA,Middle_East,Industrial,40.0,130485,281789,4.078925673187521,1183290,12,16,Medium
CL00210,Individual,Investment_Rental,USA,Asia_Pacific,Industrial,26.0,270970,3917780,4.243740770690442,4775535,16,8,Medium
CL00211,Corporate,Portfolio_Diversification,UK,Middle_East,Commercial,53.0,474664,4270163,2.6014265073593226,5099702,1,12,Medium
CL00212,Institutional,Investment_Rental,Canada,Asia_Pacific,Commercial,43.0,135468,4728656,4.788611744025419,6997129,13,0,Medium
CL00213,Institutional,Commercial_Use,UAE,Middle_East,Industrial,27.0,30901,902009,2.625850871808289,6773799,6,1,Medium
CL00214,Individual,Commercial_Use,USA,North_America,Commercial,56.0,117980,4406080,4.08734414092044,3596549,17,12,Low
